State,State-Code,District,Indicator,NFHS-5,NFHS-4
Tripura,TR,Dhalai,1. Female population age 6 years and above who ever attended school (%),74.8,76.4
Tripura,TR,Dhalai,2. Population below age 15 years (%),27.2,27.9
Tripura,TR,Dhalai,"3. Sex ratio of the total population (females per 1,000 males)",1034.0,957.0
Tripura,TR,Dhalai,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1160.0,868.0
Tripura,TR,Dhalai,5. Children under age 5 years whose birth was registered with the civil authority (%),94.2,89.8
Tripura,TR,Dhalai,6. Deaths in the last 3 years registered with the civil authority (%),81.0,
Tripura,TR,Dhalai,7. Population living in households with electricity (%),97.7,88.7
Tripura,TR,Dhalai,8. Population living in households with an improved drinking-water source1 (%),70.3,64.8
Tripura,TR,Dhalai,9. Population living in households that use an improved sanitation facility2 (%),67.6,50.3
Tripura,TR,Dhalai,10. Households using clean fuel for cooking3 (%),34.0,19.2
Tripura,TR,Dhalai,11. Households using iodized salt (%),98.7,99.5
Tripura,TR,Dhalai,12. Households with any usual member covered under a health insurance/financing scheme (%),44.2,68.8
Tripura,TR,Dhalai,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.9,
Tripura,TR,Dhalai,14. Women who are literate4 (%),71.6,
Tripura,TR,Dhalai,15. Women with 10 or more years of schooling (%),13.9,14.5
Tripura,TR,Dhalai,16. Women age 20-24 years married before age 18 years (%),38.9,34.4
Tripura,TR,Dhalai,17. Births in the 5 years preceding the survey that are third or higher order (%),0.3,0.2
Tripura,TR,Dhalai,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),26.9,20.2
Tripura,TR,Dhalai,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),63.2,27.2
Tripura,TR,Dhalai,20. Any method6 (%),80.9,67.1
Tripura,TR,Dhalai,21. Any modern method6 (%),53.3,44.1
Tripura,TR,Dhalai,22. Female sterilization (%),8.6,14.4
Tripura,TR,Dhalai,23. Male sterilization (%),0.0,0.0
Tripura,TR,Dhalai,24. IUD/PPIUD (%),0.3,0.1
Tripura,TR,Dhalai,25. Pill (%),39.0,28.3
Tripura,TR,Dhalai,26. Condom (%),2.3,1.1
Tripura,TR,Dhalai,27. Injectables (%),0.1,0.1
Tripura,TR,Dhalai,28. Total unmet need7 (%),4.0,7.0
Tripura,TR,Dhalai,29. Unmet need for spacing7 (%),1.8,3.0
Tripura,TR,Dhalai,30. Health worker ever talked to female non-users about family planning (%),3.9,4.0
Tripura,TR,Dhalai,31. Current users ever told about side effects of current method8 (%),50.8,42.5
Tripura,TR,Dhalai,32. Mothers who had an antenatal check-up in the first trimester (%),58.1,66.4
Tripura,TR,Dhalai,33. Mothers who had at least 4 antenatal care visits (%),52.0,66.4
Tripura,TR,Dhalai,34. Mothers whose last birth was protected against neonatal tetanus9 (%),97.8,88.1
Tripura,TR,Dhalai,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26.0,13.2
Tripura,TR,Dhalai,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.8,2.6
Tripura,TR,Dhalai,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.7,85.8
Tripura,TR,Dhalai,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Tripura,TR,Dhalai,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),4010.0,3980.0
Tripura,TR,Dhalai,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
Tripura,TR,Dhalai,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Tripura,TR,Dhalai,42. Institutional births (%),87.3,76.2
Tripura,TR,Dhalai,43. Institutional births in public facility (%),84.5,72.0
Tripura,TR,Dhalai,44. Home births that were conducted by skilled health personnel10 (%),0.5,1.0
Tripura,TR,Dhalai,45. Births attended by skilled health personnel10 (%),87.7,77.3
Tripura,TR,Dhalai,46. Births delivered by caesarean section (%),10.1,8.3
Tripura,TR,Dhalai,47. Births in a private health facility that were delivered by caesarean section (%),,
Tripura,TR,Dhalai,48. Births in a public health facility that were delivered by caesarean section (%),10.1,6.6
Tripura,TR,Dhalai,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Tripura,TR,Dhalai,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),76.7,64.6
Tripura,TR,Dhalai,51. Children age 12-23 months who have received BCG (%),97.6,62.1
Tripura,TR,Dhalai,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),73.7,59.3
Tripura,TR,Dhalai,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.0,69.8
